File,Column,Data Type,Description
csv/nba/game_odds.csv,game_id,string,Unique identifier for each game
csv/nba/game_odds.csv,game_date,date,Date the game was played
csv/nba/game_odds.csv,odds_date,date,odds date value
csv/nba/game_odds.csv,last_fetched,string,last fetched value
csv/nba/game_odds.csv,decimal_home,float,decimal home value
csv/nba/game_odds.csv,decimal_away,float,decimal away value
csv/nba/game_odds.csv,moneyline_home,integer,Moneyline odds value for the home team
csv/nba/game_odds.csv,moneyline_away,integer,Moneyline odds value for the away team
csv/nba/game_odds.csv,source_url,string,source url value
csv/nba/Games.csv,gameId,string,Unique identifier for each game
csv/nba/Games.csv,gameDateTimeEst,string,gameDateTimeEst value
csv/nba/Games.csv,hometeamCity,string,hometeamCity value
csv/nba/Games.csv,hometeamName,string,hometeamName value
csv/nba/Games.csv,hometeamId,string,hometeamId value
csv/nba/Games.csv,awayteamCity,string,awayteamCity value
csv/nba/Games.csv,awayteamName,string,awayteamName value
csv/nba/Games.csv,awayteamId,string,awayteamId value
csv/nba/Games.csv,homeScore,integer,homeScore value
csv/nba/Games.csv,awayScore,integer,awayScore value
csv/nba/Games.csv,winner,integer,winner value
csv/nba/Games.csv,gameType,string,gameType value
csv/nba/Games.csv,gameSubtype,string,gameSubtype value
csv/nba/Games.csv,gameLabel,string,gameLabel value
csv/nba/Games.csv,gameSubLabel,string,gameSubLabel value
csv/nba/Games.csv,seriesGameNumber,string,seriesGameNumber value
csv/nba/Games.csv,attendance,integer,attendance value
csv/nba/Games.csv,arenaId,string,arenaId value
csv/nba/Games.csv,arenaName,string,arenaName value
csv/nba/Games.csv,arenaCity,string,arenaCity value
csv/nba/Games.csv,arenaState,string,arenaState value
csv/nba/Games.csv,officials,string,officials value
csv/nba/Games.csv,gameDate,date,Date the game was played
csv/nba/Games1.csv,gameId,string,Unique identifier for each game
csv/nba/Games1.csv,gameDateTimeEst,string,gameDateTimeEst value
csv/nba/Games1.csv,hometeamCity,string,hometeamCity value
csv/nba/Games1.csv,hometeamName,string,hometeamName value
csv/nba/Games1.csv,hometeamId,string,hometeamId value
csv/nba/Games1.csv,awayteamCity,string,awayteamCity value
csv/nba/Games1.csv,awayteamName,string,awayteamName value
csv/nba/Games1.csv,awayteamId,string,awayteamId value
csv/nba/Games1.csv,homeScore,integer,homeScore value
csv/nba/Games1.csv,awayScore,integer,awayScore value
csv/nba/Games1.csv,winner,integer,winner value
csv/nba/Games1.csv,gameType,string,gameType value
csv/nba/Games1.csv,gameSubtype,string,gameSubtype value
csv/nba/Games1.csv,gameLabel,string,gameLabel value
csv/nba/Games1.csv,gameSubLabel,string,gameSubLabel value
csv/nba/Games1.csv,seriesGameNumber,string,seriesGameNumber value
csv/nba/Games1.csv,attendance,integer,attendance value
csv/nba/Games1.csv,arenaId,string,arenaId value
csv/nba/Games1.csv,arenaName,string,arenaName value
csv/nba/Games1.csv,arenaCity,string,arenaCity value
csv/nba/Games1.csv,arenaState,string,arenaState value
csv/nba/Games1.csv,officials,string,officials value
csv/nba/Games1.csv,gameDate,date,Date the game was played
csv/nba/games_advanced.csv,Team,string,Team name or abbreviation
csv/nba/games_advanced.csv,Match Up,string,Game matchup notation
